question,algorithm,feature_set,train_set_size,test_set_size,test_set_ratio,perf_measure,performance,other_info,seed
1,RF,format_agnostic,800,800,1:1,accuracy,0.77375,,1339
1,RF,combined,800,800,1:1,accuracy,0.7825,,1337
1,RF,combined,800,800,1:1,accuracy,0.81,,1338
1,RF,combined,800,800,1:1,accuracy,0.79375,,1339
1,LGBM,parsed,800,800,1:1,accuracy,0.77875,,1337
1,LGBM,parsed,800,800,1:1,accuracy,0.76625,,1338
1,LGBM,parsed,800,800,1:1,accuracy,0.795,,1339
1,LGBM,format_agnostic,800,800,1:1,accuracy,0.785,,1337
1,LGBM,format_agnostic,800,800,1:1,accuracy,0.80125,,1338
1,LGBM,format_agnostic,800,800,1:1,accuracy,0.8075,,1339
1,LGBM,combined,800,800,1:1,accuracy,0.79875,,1337
1,LGBM,combined,800,800,1:1,accuracy,0.80375,,1338
1,LGBM,combined,800,800,1:1,accuracy,0.79875,,1339
1,SVM,parsed,800,800,1:1,accuracy,0.68125,,1337
1,SVM,parsed,800,800,1:1,accuracy,0.72125,,1338
1,SVM,parsed,800,800,1:1,accuracy,0.7325,,1339
1,SVM,format_agnostic,800,800,1:1,accuracy,0.72125,,1337
1,SVM,format_agnostic,800,800,1:1,accuracy,0.65,,1338
1,SVM,format_agnostic,800,800,1:1,accuracy,0.69,,1339
1,SVM,combined,800,800,1:1,accuracy,0.70875,,1337
1,SVM,combined,800,800,1:1,accuracy,0.6975,,1338
1,SVM,combined,800,800,1:1,accuracy,0.6725,,1339
1,DT,parsed,1600,1600,1:1,accuracy,0.715,,1337
1,DT,parsed,1600,1600,1:1,accuracy,0.743125,,1338
1,DT,parsed,1600,1600,1:1,accuracy,0.686875,,1339
1,DT,format_agnostic,1600,1600,1:1,accuracy,0.719375,,1337
1,DT,format_agnostic,1600,1600,1:1,accuracy,0.71,,1338
1,DT,format_agnostic,1600,1600,1:1,accuracy,0.725625,,1339
1,DT,combined,1600,1600,1:1,accuracy,0.72,,1337
1,DT,combined,1600,1600,1:1,accuracy,0.74375,,1338
1,DT,combined,1600,1600,1:1,accuracy,0.731875,,1339
1,RF,parsed,1600,1600,1:1,accuracy,0.76,,1337
1,RF,parsed,1600,1600,1:1,accuracy,0.75375,,1338
1,RF,parsed,1600,1600,1:1,accuracy,0.765,,1339
1,RF,format_agnostic,1600,1600,1:1,accuracy,0.786875,,1337
1,RF,format_agnostic,1600,1600,1:1,accuracy,0.80625,,1338
1,RF,format_agnostic,1600,1600,1:1,accuracy,0.794375,,1339
1,RF,combined,1600,1600,1:1,accuracy,0.81,,1337
1,RF,combined,1600,1600,1:1,accuracy,0.8275,,1338
1,RF,combined,1600,1600,1:1,accuracy,0.81875,,1339
1,LGBM,parsed,1600,1600,1:1,accuracy,0.79,,1337
1,LGBM,parsed,1600,1600,1:1,accuracy,0.81375,,1338
1,LGBM,parsed,1600,1600,1:1,accuracy,0.805625,,1339
1,LGBM,format_agnostic,1600,1600,1:1,accuracy,0.81625,,1337
1,LGBM,format_agnostic,1600,1600,1:1,accuracy,0.81125,,1338
1,LGBM,format_agnostic,1600,1600,1:1,accuracy,0.816875,,1339
1,LGBM,combined,1600,1600,1:1,accuracy,0.816875,,1337
1,LGBM,combined,1600,1600,1:1,accuracy,0.825,,1338
1,LGBM,combined,1600,1600,1:1,accuracy,0.844375,,1339
1,SVM,parsed,1600,1600,1:1,accuracy,0.706875,,1337
1,SVM,parsed,1600,1600,1:1,accuracy,0.775,,1338
1,SVM,parsed,1600,1600,1:1,accuracy,0.73625,,1339
1,SVM,format_agnostic,1600,1600,1:1,accuracy,0.731875,,1337
1,SVM,format_agnostic,1600,1600,1:1,accuracy,0.725625,,1338
1,SVM,format_agnostic,1600,1600,1:1,accuracy,0.711875,,1339
1,SVM,combined,1600,1600,1:1,accuracy,0.7525,,1337
1,SVM,combined,1600,1600,1:1,accuracy,0.769375,,1338
1,SVM,combined,1600,1600,1:1,accuracy,0.703125,,1339
1,DT,parsed,3200,3200,1:1,accuracy,0.7003125,,1337
1,DT,parsed,3200,3200,1:1,accuracy,0.7534375,,1338
1,DT,parsed,3200,3200,1:1,accuracy,0.775625,,1339
1,DT,format_agnostic,3200,3200,1:1,accuracy,0.7296875,,1337
1,DT,format_agnostic,3200,3200,1:1,accuracy,0.7353125,,1338
1,DT,format_agnostic,3200,3200,1:1,accuracy,0.7234375,,1339
1,DT,combined,3200,3200,1:1,accuracy,0.77875,,1337
1,DT,combined,3200,3200,1:1,accuracy,0.759375,,1338
1,DT,combined,3200,3200,1:1,accuracy,0.7428125,,1339
1,RF,parsed,3200,3200,1:1,accuracy,0.7665625,,1337
1,RF,parsed,3200,3200,1:1,accuracy,0.754375,,1338
1,RF,parsed,3200,3200,1:1,accuracy,0.7571875,,1339
1,RF,format_agnostic,3200,3200,1:1,accuracy,0.7959375,,1337
1,RF,format_agnostic,3200,3200,1:1,accuracy,0.8184375,,1338
1,RF,format_agnostic,3200,3200,1:1,accuracy,0.805,,1339
1,RF,combined,3200,3200,1:1,accuracy,0.815625,,1337
